variable,grupo_a,grupo_b,media_a,media_b,mediana_a,mediana_b,t,p_t,U,p_u,cohen_d,p_t_bonf,p_u_bonf,significativo
acousticness,pop,rap,0.1722678594686411,0.19525037286812766,0.07405,0.111,-5.1062804816829885,3.348536100970467e-07,10620096.5,2.5523837843748494e-21,-0.10345048508918295,5.022804151455701e-06,3.8285756765622745e-20,True
acousticness,pop,rock,0.1722678594686411,0.14632279713302754,0.07405,0.0364,5.6118279265895605,2.06168842080115e-08,11737775.0,2.406484220636109e-45,0.11853885732274122,3.092532631201725e-07,3.6097263309541634e-44,True
acousticness,r&b,rap,0.26215792113804,0.19525037286812766,0.168,0.111,13.846396956504028,3.5435357232380005e-43,14266104.5,2.9729071871974837e-41,0.27987179638012105,5.3153035848570006e-42,4.459360780796225e-40,True
acousticness,r&b,rock,0.26215792113804,0.14632279713302754,0.168,0.0364,23.418152704967618,8.696431192445101e-118,14277493.5,2.520629882239809e-216,0.48754401241071943,1.3044646788667653e-116,3.7809448233597134e-215,True
acousticness,rap,rock,0.19525037286812766,0.14632279713302754,0.111,0.0364,10.957361106509918,9.029367372832412e-28,14324968.0,3.436325461079915e-109,0.2243474213348002,1.3544051059248617e-26,5.154488191619873e-108,True
duracion_min,edm,latin,3.7538696810919205,3.6230194697855747,3.411783333333333,3.5182166666666665,6.25325609927872,4.1998641966824856e-10,10628071.5,0.003309239705660161,0.12517479582141935,6.299796295023728e-09,0.04963859558490241,True
duracion_min,edm,pop,3.7538696810919205,3.640191808217189,3.411783333333333,3.5216666666666665,5.651616285566921,1.638701230645183e-08,11174271.5,2.1436346130989984e-06,0.11193800016079308,2.4580518459677744e-07,3.2154519196484976e-05,True
duracion_min,edm,r&b,3.7538696810919205,3.998088162978574,3.411783333333333,3.92,-11.173970600105925,8.179233992581779e-29,9311466.0,1.4795734903454786e-93,-0.2229435193719399,1.226885098887267e-27,2.219360235518218e-92,True
duracion_min,edm,rap,3.7538696810919205,3.5584621587850824,3.411783333333333,3.5,8.969244542517352,3.5183374711370323e-19,13805949.0,0.00805882073634276,0.17642383887079763,5.277506206705548e-18,0.12088231104514141,False
duracion_min,edm,rock,3.7538696810919205,4.132237022171253,3.411783333333333,3.9475583333333333,-16.165996533574287,5.2206285910589865e-58,7955714.5,3.414363584405958e-133,-0.3299519277321665,7.83094288658848e-57,5.121545376608937e-132,True
